Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
47;0.470142717234942;59;0;0.300867;51,801;51,801;0;0;1,920;1.002471;3.833333;6.126514;22,515;29,286;51,801;0;0;0;0.0001688766314973606;0.0001715619665386834;4.501047;9.864315;0.112343;51,929;7,360
48;0.4800521566838289;58;0;0.293640;51,801;51,801;0;0;1,920;1.002471;3.833333;6.421280;22,515;29,286;51,801;0;0;0;0.0001624301458824962;0.0001743405497907947;4.501047;9.864315;0.112343;51,929;7,360
49;0.4901532081893621;60;0;0.308507;51,801;51,801;0;0;1,920;1.002471;3.833333;6.731131;22,515;29,286;51,801;0;0;0;0.0001624935973052346;0.0001724083138539828;4.501047;9.864315;0.112343;51,929;7,360
50;0.5001350762767088;60;0;0.305533;51,801;51,801;0;0;2,112;1.002471;3.484848;7.037753;22,515;29,286;51,801;0;0;0;0.0001606523451608972;0.0001734471796095568;4.501047;9.864315;0.112343;51,929;7,360
51;0.5101303445420745;62;0;0.311260;51,801;51,801;0;0;2,112;1.002471;3.484848;7.350107;22,515;29,286;51,801;0;0;0;0.0001536918509542959;0.0001735063843871689;4.501047;9.864315;0.112343;51,929;7,360
52;0.5200773971482964;59;0;0.295987;51,801;51,801;0;0;2,112;1.002471;3.484848;7.647187;22,515;29,286;51,801;0;0;0;0.0001654518494522198;0.0001716717521980265;4.501047;9.864315;0.112343;51,929;7,360
53;0.5300997563855105;59;0;0.295927;51,801;51,801;0;0;2,112;1.002471;3.484848;7.944333;22,515;29,286;51,801;0;0;0;0.0001661042889823012;0.0001722860409951586;4.501047;9.864315;0.112343;51,929;7,360
54;0.5400624191754317;59;0;0.299685;51,801;51,801;0;0;2,112;1.002471;3.484848;8.245652;22,515;29,286;51,801;0;0;0;0.0001646054781852242;0.0001714030144150391;4.501047;9.864315;0.112343;51,929;7,360
55;0.5500543649576906;59;0;0.300596;51,801;51,801;0;0;2,112;1.002471;3.484848;8.547521;22,515;29,286;51,801;0;0;0;0.0001650629233000635;0.0001739277184876505;4.501047;9.864315;0.112343;51,929;7,360
56;0.5600860904688824;60;0;0.303931;51,801;51,801;0;0;2,112;1.002471;3.484848;8.852868;22,515;29,286;51,801;0;0;0;0.0001639625260774372;0.0001729458508534136;4.501047;9.864315;0.112343;51,929;7,360
57;0.5700544458534136;59;0;0.300160;51,801;51,801;0;0;2,112;1.002471;3.484848;9.154423;22,515;29,286;51,801;0;0;0;0.0001662076139111907;0.0001727116660719435;4.501047;9.864315;0.112343;51,929;7,360
58;0.5801313831121407;60;0;0.290694;51,801;51,801;0;0;2,112;1.002471;3.484848;9.446479;22,515;29,286;51,801;0;0;0;0.0001628853847083613;0.0001724902569732227;4.501047;9.864315;0.112343;51,929;7,360
59;0.5900942766086148;58;0;0.298427;51,801;51,801;0;0;2,112;1.002471;3.484848;9.746256;22,515;29,286;51,801;0;0;0;0.0001691174385774703;0.0001743614226237829;4.501047;9.864315;0.112343;51,929;7,360
60;0.6000315854649294;59;0;0.305888;51,801;51,801;0;0;2,112;1.002471;3.484848;10.053297;22,515;29,286;51,801;0;0;0;0.0001635800824512152;0.0001714583723040523;4.501047;9.864315;0.112343;51,929;7,360
61;0.6101414551655254;59;0;0.304522;51,801;51,801;0;0;2,112;1.002471;3.484848;10.358885;22,515;29,286;51,801;0;0;0;0.0001658830246175919;0.0001745487919818842;4.501047;9.864315;0.112343;51,929;7,360
62;0.6200505764944061;60;0;0.305712;51,801;51,801;0;0;2,112;1.002471;3.484848;10.666021;22,515;29,286;51,801;0;0;0;0.0001605826953995367;0.0001700985926901652;4.501047;9.864315;0.112343;51,929;7,360
63;0.6301048931491559;59;0;0.298588;51,801;51,801;0;0;2,112;1.002471;3.484848;10.965831;22,515;29,286;51,801;0;0;0;0.00016677109895508;0.0001727719843579957;4.501047;9.864315;0.112343;51,929;7,360
64;0.640027545127542;57;0;0.292655;51,801;51,801;0;0;1,920;1.002471;3.833333;11.259682;22,515;29,286;51,801;0;0;0;0.0001723885340252362;0.0001756493845233187;4.501047;9.864315;0.112343;51,929;7,360
65;0.6500195201992046;58;0;0.284869;51,801;51,801;0;0;1,920;1.002471;3.833333;11.545677;22,515;29,286;51,801;0;0;0;0.0001700886696629936;0.0001756364980049021;4.501047;9.864315;0.112343;51,929;7,360
66;0.6600033493230587;58;0;0.300902;51,801;51,801;0;0;1,920;1.002471;3.833333;11.847771;22,515;29,286;51,801;0;0;0;0.000171396747579859;0.0001735752200221168;4.501047;9.864315;0.112343;51,929;7,360
67;0.6700179047977187;59;0;0.304397;51,801;51,801;0;0;1,920;1.002471;3.833333;12.153448;22,515;29,286;51,801;0;0;0;0.0001682558646054225;0.0001722929471498614;4.501047;9.864315;0.112343;51,929;7,360
68;0.6801158011853576;59;0;0.303360;51,801;51,801;0;0;1,920;1.002471;3.833333;12.457970;22,515;29,286;51,801;0;0;0;0.0001673338630358999;0.0001731263296414106;4.501047;9.864315;0.112343;51,929;7,360
69;0.6901463151235641;59;0;0.303148;51,801;51,801;0;0;1,920;1.002471;3.833333;12.762326;22,515;29,286;51,801;0;0;0;0.0001669326697140232;0.0001738253850757117;4.501047;9.864315;0.112343;51,929;7,360
70;0.7001089404589349;58;0;0.298157;51,801;51,801;0;0;1,920;1.002471;3.833333;13.061599;22,515;29,286;51,801;0;0;0;0.0001703019720418458;0.0001730746910778337;4.501047;9.864315;0.112343;51,929;7,360
71;0.7101481658583769;61;0;0.310525;51,801;51,801;0;0;1,920;1.002471;3.833333;13.373193;22,515;29,286;51,801;0;0;0;0.0001596412388179688;0.0001709251062697986;4.501047;9.864315;0.112343;51,929;7,360
72;0.7200193901696429;58;0;0.294879;51,801;51,801;0;0;1,920;1.002471;3.833333;13.669339;22,515;29,286;51,801;0;0;0;0.0001674891349378753;0.0001736270921884096;4.501047;9.864315;0.112343;51,929;7,360
73;0.7300132231607874;59;0;0.297706;51,801;51,801;0;0;1,920;1.002471;3.833333;13.968199;22,515;29,286;51,801;0;0;0;0.0001662716996613679;0.0001723677035602067;4.501047;9.864315;0.112343;51,929;7,360
74;0.7401455165179557;59;0;0.298025;51,801;51,801;0;0;1,920;1.002471;3.833333;14.267277;22,515;29,286;51,801;0;0;0;0.0001693943813730118;0.0001724860099727786;4.501047;9.864315;0.112343;51,929;7,360
75;0.7501002278002475;58;0;0.294809;51,801;51,801;0;0;1,920;1.002471;3.833333;14.563173;22,515;29,286;51,801;0;0;0;0.0001653838008862067;0.0001742927524410615;4.501047;9.864315;0.112343;51,929;7,360
76;0.7600647017120692;59;0;0.300373;51,801;51,801;0;0;1,920;1.002471;3.833333;14.864635;22,515;29,286;51,801;0;0;0;0.0001653942771696005;0.0001724358460500132;4.501047;9.864315;0.112343;51,929;7,360
77;0.7700242672894345;59;0;0.302551;51,801;51,801;0;0;1,920;1.002471;3.833333;15.168371;22,515;29,286;51,801;0;0;0;0.0001645514122756545;0.0001727229092384041;4.501047;9.864315;0.112343;51,929;7,360
78;0.7800725879228326;59;0;0.304183;51,801;51,801;0;0;1,920;1.002471;3.833333;15.473606;22,515;29,286;51,801;0;0;0;0.0001676748548821354;0.0001728031617089375;4.501047;9.864315;0.112343;51,929;7,360
79;0.7900823253529841;59;0;0.303192;51,801;51,801;0;0;1,920;1.002471;3.833333;15.777877;22,515;29,286;51,801;0;0;0;0.0001689182462000883;0.0001712613616623167;4.501047;9.864315;0.112343;51,929;7,360
80;0.800084247841648;59;0;0.296292;51,801;51,801;0;0;1,920;1.002471;3.833333;16.075292;22,515;29,286;51,801;0;0;0;0.0001671866301106273;0.000173025293118389;4.501047;9.864315;0.112343;51,929;7,360

# Part:  Number of output file with particles data.
# TimeStep [s]:  Physical time of simulation.
# Steps:  Number of calculation steps since the previous PART.
# DTsMin:  Number of times the Dt is updated with the minimum allowed value (can be 2 times per step when Symplectic is used).
# PartRuntime [s]:  Runtime of last PART simulation.
# NpSave:  Number of selected particles to save.
# NpSim:  Number of particles used in simulation (normal + periodic particles).
# NpNew:  Number of new fluid particles created by inlet conditions since the previous PART.
# NpOut:  Number of excluded fluid particles since the previous PART.
# NctSim:  Number of cells used in simulation for particle search.
# NpAlloc [X]:  Over-allocation memory for particles NpAlloc/NpSim.
# NctAlloc [X]:  Over-allocation memory for cells NctAlloc/NctSim.
# SimRuntime [s]:  Total runtime of simulation (initialisation tasks not included).
# NpbSim:  Number of fixed and moving particles (includes periodic particles).
# NpfSim:  Number of fluid and floating particles (includes periodic particles).
# NpNormal:  Total number of particles without periodic particles.
# NpOutPos:  Number of excluded particles due to invalid position.
# NpOutRho:  Number of excluded particles due to invalid density.
# NpOutMov:  Number of excluded particles due to invalid movement.
# DtMin [s]:  Minimum value of Dt since the previous PART.
# DtMax [s]:  Maximum value of Dt since the previous PART.
# MemCPU [MiB]:  Current CPU memory allocated (only includes the most memory intensive objects).
# MemGPU [MiB]:  Current GPU memory allocated (only includes the most memory intensive objects).
# MemGPU_Cells [MiB]:  Current GPU memory allocated for cells according to NctAlloc.
# NpAlloc:  Number of supported particles with memory allocated.
# NctAlloc:  Number of supported cells with memory allocated.
