Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
33;0.1650325988196676;85;0;0.256087;330,040;330,040;0;0;11,970;1.000388;4.300752;8.830092;87,979;242,061;330,040;0;0;0;5.188622132501343e-05;6.857321288945267e-05;28.382492;62.784546;0.785561;330,168;51,480
34;0.1700235951271742;85;0;0.274489;330,040;330,040;0;0;11,970;1.000388;4.300752;9.112298;87,979;242,061;330,040;0;0;0;5.181775685871738e-05;7.056205840635626e-05;28.382492;62.784546;0.785561;330,168;51,480
35;0.1750446227017449;87;0;0.262855;330,040;330,040;0;0;12,600;1.000388;4.085714;9.382611;87,979;242,061;330,040;0;0;0;4.845756748593688e-05;6.663001223904665e-05;28.382492;62.784546;0.785561;330,168;51,480
36;0.180021243855144;84;0;0.249357;330,040;330,040;0;0;12,600;1.000388;4.085714;9.639411;87,979;242,061;330,040;0;0;0;5.393385177909702e-05;6.697657562390174e-05;28.382492;62.784546;0.785561;330,168;51,480
37;0.185029760774046;76;0;0.224931;330,040;330,040;0;0;12,600;1.000388;4.085714;9.872047;87,979;242,061;330,040;0;0;0;6.140014181996418e-05;0.0000721616885140398;28.382492;62.784546;0.785561;330,168;51,480
38;0.1900185666218027;76;0;0.226218;330,040;330,040;0;0;12,600;1.000388;4.085714;10.105710;87,979;242,061;330,040;0;0;0;5.952451364209832e-05;6.994119314472305e-05;28.382492;62.784546;0.785561;330,168;51,480
39;0.1950633442738297;76;0;0.250178;330,040;330,040;0;0;12,600;1.000388;4.085714;10.364571;87,979;242,061;330,040;0;0;0;0.0000588554922491223;7.547953298032821e-05;28.382492;62.784546;0.785561;330,168;51,480
40;0.2000520989352754;82;0;0.328095;330,040;330,040;0;0;12,600;1.000388;4.085714;10.700488;87,979;242,061;330,040;0;0;0;5.211009629706157e-05;6.942477340647357e-05;28.382492;62.784546;0.785561;330,168;51,480
41;0.2050027893118492;75;0;0.225553;330,040;330,040;0;0;13,230;1.000388;3.891156;10.933829;87,979;242,061;330,040;0;0;0;0.0000599827203250466;7.304364939542373e-05;28.382492;62.784546;0.785561;330,168;51,480
42;0.210004578000053;93;0;0.298365;330,040;330,040;0;0;13,230;1.000388;3.891156;11.239578;87,979;242,061;330,040;0;0;0;3.985039443481868e-05;6.200674286283734e-05;28.382492;62.784546;0.785561;330,168;51,480
43;0.2150024936386188;120;0;0.366982;330,040;330,040;0;0;13,230;1.000388;3.891156;11.614323;87,979;242,061;330,040;0;0;0;2.964252039958737e-05;5.284324948186129e-05;28.382492;62.784546;0.785561;330,168;51,480
