time [s];force [N];forcex [N];forcey [N];forcez [N]
0.467557;79.5025;44.9182;-27.9646;59.3378
0.470036;94.7589;-61.1595;34.5762;63.5866
0.472550;180.288;-101.845;54.9683;138.238
0.475029;155.842;-69.8377;-4.67556;139.239
0.477516;99.8728;19.9;-48.7368;84.8722
0.480047;107.614;48.3995;-53.1269;80.098
0.482566;100.476;8.03397;-19.4027;98.2568
0.485051;126.419;-37.0436;26.9554;117.826
0.487523;96.9394;-29.8212;-0.0284415;92.2385
0.490056;71.597;-15.0209;6.51772;69.6995
0.492570;131.635;10.0422;25.0275;128.843
0.495046;140.151;10.8767;40.46;133.742
0.497505;77.2304;11.9728;40.022;64.9572
0.500068;46.5105;-19.8595;10.9875;40.5968
0.502527;100.993;-11.5128;-39.2612;92.3346
0.505070;143.892;6.67981;-41.6039;137.584
0.507553;132.732;34.192;-51.0372;117.66
0.510052;111.506;55.7669;-44.7093;85.5852
0.512522;86.398;45.5715;-14.8068;71.8931
0.515006;48.1299;16.4824;11.3939;43.7607
0.517563;35.7468;0.579224;20.7672;29.0899
0.520026;54.7696;15.4357;33.2087;40.7264
0.522500;91.9121;-14.1116;43.1936;79.8937
0.525031;123.943;-54.0719;38.4655;104.683
0.527535;86.1644;-24.3881;6.71529;82.3677
0.530002;70.1949;-21.0591;-16.818;64.8151
0.532534;100.843;8.8583;-10.8237;99.8687
0.535003;151.268;27.0953;-26.8145;146.386
0.537566;129.616;1.75802;-15.4322;128.682
0.540007;82.727;17.0625;-11.2685;80.1602
0.542547;46.8938;-20.2278;-31.4247;28.3259
0.545042;84.8946;-69.6188;-3.12673;48.4823
0.547554;109.728;-41.5506;4.79061;101.444
0.550065;127.754;11.547;23.89;124.968
0.552561;135.701;51.1791;28.774;122.342
0.555079;152.117;57.7617;12.8283;140.138
0.557512;130.899;7.05096;29.1662;127.413
0.560078;66.5182;-5.1975;5.54188;66.0828
0.562545;63.7476;30.5006;-54.5589;12.5219
0.565060;78.0789;-4.26095;-69.196;35.9177
0.567551;107.259;-18.5536;-44.0685;96.0116
0.570010;114.4;-16.2579;38.7912;106.387
0.572572;87.414;-16.8955;71.5621;47.2717
0.575078;61.1734;37.9084;13.5488;46.0605
0.577519;127.564;35.1184;-41.334;115.459
0.580048;130.714;-26.388;-11.9704;127.462
0.582515;116.953;-35.3023;50.7009;99.3029
0.585005;95.783;-30.3979;52.4776;74.138
0.587534;80.7087;2.37007;-16.9761;78.8675
0.590015;147.515;10.828;-70.9909;128.856
0.592570;135.411;-16.9273;-49.8249;124.768
0.595032;99.0243;-3.33492;-21.2768;96.654
0.597543;86.1242;13.3245;-9.71479;84.5308
0.600014;52.4348;0.0976105;10.6377;51.3443
0.602555;42.8827;-13.0751;35.8245;19.6105
0.605062;60.916;-5.31273;56.8688;21.1772
0.607574;83.1978;19.2939;49.725;63.8518
0.610023;104.855;29.8595;14.3521;99.4839
0.612533;141.057;39.2179;-34.1567;131.119
0.615021;136.331;23.9198;-40.3139;128.018
0.617572;121.649;-12.4838;-26.8493;117.99
0.620037;114.529;-10.121;-25.1818;111.267
0.622502;106.304;-51.3807;-24.7341;89.7151
0.625059;92.0947;-22.7351;-15.2832;87.9259
0.627579;74.6666;26.0272;9.70798;69.3069
0.630028;69.7814;48.166;33.933;37.3903
0.632505;58.134;17.9064;23.3896;50.1183
0.635067;90.9731;-24.9256;30.1129;82.1464
0.637528;100.095;-39.0291;50.4867;77.1158
0.640028;102.42;-38.9483;26.7531;90.869
0.642504;130.283;-39.7202;-35.2318;118.974
0.645074;125.153;-0.527016;-47.314;115.864
0.647567;88.3046;48.6298;-20.9909;70.6557
0.650000;75.4637;41.3736;-6.62226;62.7625
0.652555;116.054;13.5358;-20.2234;113.474
0.655058;146.477;-3.69548;-58.9759;134.029
0.657516;122.558;-12.9911;-55.5372;108.477
0.660017;71.5279;8.54009;38.1037;59.9285
0.662515;96.7805;23.1484;93.1914;12.0817
0.665057;66.8234;12.4307;63.7588;15.6732
0.667506;49.2254;8.84913;16.512;45.5212
0.670024;59.1226;-6.27528;11.7918;57.5939
0.672561;85.0223;-12.7095;26.5898;79.7512
0.675067;119.267;-29.3694;-15.6663;114.527
0.677550;142.966;-21.7873;-47.1262;133.206
0.680069;141.134;0.542706;-29.2361;138.071
0.682521;126.351;41.9673;-19.6084;117.554
0.685023;113.809;33.1096;-42.8181;100.115
0.687522;107.948;-22.2503;-74.0246;75.3525
0.690064;79.3094;-54.2991;-39.9625;41.7682
0.692549;75.9075;-17.0127;37.038;64.0368
0.695036;129.989;-2.6831;88.2915;95.3659
0.697566;121.357;16.366;91.8128;77.6535
0.700052;86.9629;24.2529;62.3461;55.5635
0.702524;51.6133;2.07961;11.4796;50.2775
0.705058;84.03;-15.8439;-40.8962;71.6765
0.707543;141.271;1.69665;-53.8263;130.604
0.710010;137.096;9.00602;-23.8712;134.701
0.712571;94.4678;33.9617;0.0417385;88.1519
0.715074;82.4142;-4.16656;-12.9879;81.2776
0.717567;99.9588;-8.01066;-58.0838;80.9559
0.720025;104.625;19.352;-82.619;61.2044
0.722566;62.031;10.7323;-32.7137;51.5993
0.725048;108.128;-24.697;89.087;56.083
0.727534;162.244;-39.784;141.121;69.4636
0.730059;123.518;-8.65731;86.1253;88.1142
0.732531;85.7772;26.9546;-4.9562;81.2811
0.735027;83.7571;31.4759;-44.8098;63.3767
0.737517;74.6155;-0.679207;-27.0595;69.5327
0.740051;99.1897;-24.8534;-36.1196;88.9735
0.742583;91.4289;-2.47706;-36.3344;83.8625
0.745070;99.3837;25.0751;-19.1884;94.2346
0.747516;111.966;24.4138;-13.0907;108.485
0.750083;104.599;5.42952;-20.5327;102.42
0.752559;94.9477;-15.1597;-23.1508;90.8257
0.755050;79.6193;-17.3896;0.223337;77.6967
0.757563;100.11;-5.05141;67.7001;73.5747
0.760027;120.815;-9.90037;86.8439;83.4049
0.762553;101.801;-24.6925;21.8948;96.3032
0.765008;109.379;-20.9821;-51.8696;93.9848
0.767547;105.507;1.40738;-49.8633;92.9698
0.770006;89.6084;25.5004;20.1381;83.5096
0.772531;70.7838;41.2088;20.5871;53.7434
0.775078;57.3129;21.0557;-21.0224;48.9846
0.777502;74.5921;-16.4686;-14.4954;71.2927
0.780070;85.3898;-34.828;5.29479;77.7842
0.782570;79.5396;-39.3146;-25.812;64.1456
0.785039;73.0376;22.1018;-16.9049;67.5294
0.787518;132.376;75.7895;43.0723;99.6195
0.790067;130.481;35.4664;45.8594;116.894
0.792522;74.8924;-18.2938;15.1734;71.021
0.795042;54.4653;-36.8287;-17.1771;36.2638
0.797554;82.5789;-21.0182;-36.8158;70.8668
