TimeStep [s],Np,Nbound,Nfixed,Nmoving,Nfloat,Nfluid
0.800017,29286,0,0,0,0,29286

Pos.x [m],Pos.y [m],Pos.z [m],Zone,Idp,Vel.x [m/s],Vel.y [m/s],Vel.z [m/s],Rhop [kg/m^3],Mass [kg],Press [Pa],Type,Mk,
  1.2194654E-01,  1.3326558E-01,  5.1829249E-02,0,10917, -3.8842786E-02, -4.8564289E-02,  8.4967939E-03,  1.0022131E+03,  1.5625000E-02,  4.8080835E+03,3,1,
  9.6313469E-02,  1.0586992E-01,  5.5184450E-02,0,9515,  1.4518778E-02,  2.2103691E-03,  8.8719660E-03,  1.0010114E+03,  1.5625000E-02,  2.1894670E+03,3,1,
  4.3947849E-02,  1.3980775E-01,  5.0003972E-02,0,9582,  6.1815783E-02, -5.5192243E-02, -1.9276467E-01,  1.0034188E+03,  1.5625000E-02,  7.4544800E+03,3,1,
  1.2715508E-01,  8.1470847E-02,  5.1446978E-02,0,10204, -1.4740606E-01, -2.4868834E-01,  2.5662955E-02,  1.0021142E+03,  1.5625000E-02,  4.5919019E+03,3,1,
  5.6047440E-02,  1.3624670E-01,  5.6171659E-02,0,8249, -7.7350743E-02,  1.1359925E-01, -4.5528322E-02,  1.0017369E+03,  1.5625000E-02,  3.7681177E+03,3,1,
  1.4452788E-01,  1.2905665E-01,  5.2212324E-02,0,9537, -7.7022980E-03, -1.3947271E-01,  5.1025096E-03,  1.0022891E+03,  1.5625000E-02,  4.9744434E+03,3,1,
  1.5269555E-01,  8.8842243E-02,  5.0639298E-02,0,10181, -3.3216406E-02, -3.4078281E-02,  2.0914517E-02,  1.0021865E+03,  1.5625000E-02,  4.7498887E+03,3,1,
  1.4711308E-01,  1.0242596E-01,  5.0459616E-02,0,10871, -6.1422035E-02, -8.3579004E-02,  1.3394744E-02,  1.0024518E+03,  1.5625000E-02,  5.3306499E+03,3,1,
  1.9598827E-01,  9.2108741E-02,  5.4057948E-02,0,12183, -8.8109836E-02, -1.4050078E-02,  2.6043007E-02,  1.0015087E+03,  1.5625000E-02,  3.2707788E+03,3,1,
  1.6770089E-01,  9.4206661E-02,  5.2889269E-02,0,11516, -7.6697454E-02, -1.1173639E-01,  2.9708944E-02,  1.0018450E+03,  1.5625000E-02,  4.0039226E+03,3,1,
  1.3152473E-01,  1.0443047E-01,  5.3891104E-02,0,10849, -5.5008356E-02, -6.2194310E-02,  1.6904920E-02,  1.0016170E+03,  1.5625000E-02,  3.5067937E+03,3,1,
  1.8519166E-01,  1.0093935E-01,  5.5735491E-02,0,12229, -1.1244433E-01, -4.8323393E-02,  1.6278019E-02,  1.0016006E+03,  1.5625000E-02,  3.4710159E+03,3,1,
  1.9345893E-01,  1.3114619E-01,  5.5837844E-02,0,11562, -1.3244501E-02, -3.0402740E-02, -4.5836918E-02,  1.0017353E+03,  1.5625000E-02,  3.7646570E+03,3,1,
  1.5901746E-01,  6.9380909E-02,  5.3405739E-02,0,10848, -1.5014335E-02, -2.2269422E-01,  9.6903875E-02,  1.0017348E+03,  1.5625000E-02,  3.7635920E+03,3,1,
  1.7282265E-01,  1.0916956E-01,  5.4604497E-02,0,11585, -7.9051860E-02, -2.5264066E-02,  2.4382228E-03,  1.0017178E+03,  1.5625000E-02,  3.7264583E+03,3,1,
  1.8198223E-01,  7.5041912E-02,  5.3672422E-02,0,11515, -4.8304528E-02, -1.0818613E-01,  4.5139413E-02,  1.0017015E+03,  1.5625000E-02,  3.6910581E+03,3,1,
  1.5683827E-01,  1.1502015E-01,  5.5357292E-02,0,12252, -1.2616691E-01, -9.1217175E-02, -1.5027191E-02,  1.0015127E+03,  1.5625000E-02,  3.2795518E+03,3,1,
  1.9732147E-01,  1.0828829E-01,  5.0141558E-02,0,12251, -1.0604424E-01, -1.9725787E-02,  2.1700370E-03,  1.0023629E+03,  1.5625000E-02,  5.1359360E+03,3,1,
  1.6325730E-01,  1.3516787E-01,  5.1103283E-02,0,11584, -9.3275838E-02, -5.7871528E-02,  1.2808647E-03,  1.0022018E+03,  1.5625000E-02,  4.7835229E+03,3,1,
