Pos.x [m];Pos.y [m];Pos.z [m];PartOut;Motive;Idp;Vel.x [m/s];Vel.y [m/s];Vel.z [m/s];Rhop [kg/m^3];
  3.9139837E-01;  3.6636570E-01; -2.1000285E-02;105;1;386925;  1.4318648E-01;  2.8391352E-01; -4.5739554E-02;  9.9968420E+02;
  7.8998262E-01;  7.6369542E-01; -2.1001147E-02;105;1;430939;  9.7274989E-02;  1.8330364E-01; -4.9219687E-02;  9.9956738E+02;
  2.8845739E-01;  6.5950090E-01; -2.1000519E-02;105;1;377815;  2.7462849E-01;  7.8460205E-01; -3.3369202E-02;  9.9966174E+02;
  7.8906977E-01;  7.6227772E-01; -2.1001196E-02;105;1;414900;  5.5810090E-02;  1.2123924E-01; -5.8584455E-02;  9.9952893E+02;
  4.9737638E-01;  6.8407315E-01; -2.1001182E-02;105;1;388225;  1.5609102E-01; -4.0768614E-01; -5.6308925E-02;  9.9966119E+02;
  3.7409553E-01;  3.6179018E-01; -2.1001417E-02;106;1;386733;  3.3906987E-01;  1.9678754E-01; -6.5323457E-02;  9.9998645E+02;
  4.9990320E-01;  6.7851925E-01; -2.1000180E-02;106;1;404314;  3.3661827E-02; -3.6780357E-01; -3.3821933E-02;  9.9962433E+02;
  4.9101695E-02;  6.6577506E-01; -2.1004725E-02;106;1;420629; -2.2403893E-01; -6.0921311E-01; -1.8679862E-01;  9.9880261E+02;
  2.8945073E-01;  6.6411084E-01; -2.1002293E-02;106;1;377814;  4.0218180E-01;  6.1560792E-01; -9.2671126E-02;  9.9952899E+02;
  2.9981332E-02;  3.4958136E-01; -2.1004409E-02;106;1;385918;  1.0016569E+00; -1.1424985E-01; -2.7456340E-01;  9.9864050E+02;
  7.7944869E-01;  2.3909979E-01; -2.1000652E-02;107;1;419121;  3.6931521E-01;  2.8558701E-01; -2.4426568E-02;  9.9943597E+02;
